"","q","avg.loss.mu.est.DPMM_ng1","avg.loss.mu.est.DPMM_ng2","avg.loss.mu.est.DPMM_ng3","avg.loss.mu.est.DPMM_ng4","avg.loss.sigma2d.est.DPMM_ng1","avg.loss.sigma2d.est.DPMM_ng2","avg.loss.sigma2d.est.DPMM_ng3","avg.loss.sigma2d.est.DPMM_ng4","prob.2_ng1","prob.2_ng2","prob.2_ng3","prob.2_ng4","prob.3_ng1","prob.3_ng2","prob.3_ng3","prob.3_ng4"
"result.11",20,0.210451831375352,0.201198686481325,0.213099099232793,0.216230486536065,0.0635546828914002,0.0732697408491084,0.0856413944214012,0.0915183525686177,0.0576140443392308,0.164713562493474,0.151443096048104,0.135253746323192,0.00315504736840856,0.0979789786095997,0.125663954345007,0.120203505608189
"result.12",20,0.0740465600429188,0.0842003064843245,0.0852948329317339,0.0848153236126596,0.0591556279440005,0.0647425847139692,0.0639231680057616,0.0646587059492226,0.0251527907129327,0.197541144089768,0.146979148691476,0.133118431911315,0.00123983595696405,0.134299800813675,0.12611851949089,0.119330099872103
"result.13",20,0.186086334660028,0.122457333081008,0.13262294974042,0.136057795791949,0.501999902439547,0.204155922090999,0.227999819703399,0.209680286566508,0.036104955938343,0.174345788957133,0.150729755322494,0.134452539507714,0.0017986543729752,0.106336793828962,0.126964993559097,0.12002707772864
"result.14",20,0.132777901175537,0.125596951943584,0.133434784177779,0.133958508787383,0.111450267271749,0.101839638573617,0.0886588572460905,0.100747025020689,0.0561447202161649,0.159059040075764,0.15217567834727,0.134777803257691,0.00319216513128835,0.095426991638256,0.12621813757124,0.119711941591373
"result.15",20,0.130710426763633,0.123512108934454,0.123322321962341,0.123231527517205,0.117832631617413,0.124772699684698,0.125108655089249,0.126398804452882,0.0181025265330007,0.195721766524888,0.147597072064632,0.13288204616021,0.000947703324912098,0.129393360633399,0.126305271479186,0.119347311126846
"result.16",20,0.037912977526254,0.0461927453441617,0.0495641293969465,0.0493053259403358,0.0495529853337886,0.0662932875328225,0.0738798764399045,0.0722592274698883,0.0171002876723171,0.195146343525023,0.147437187267847,0.132848952983577,0.000634844017607809,0.132839422159597,0.126326830578207,0.119458715020438
"result.17",20,0.110470976912931,0.122978031930605,0.126516516885875,0.130212893296648,0.0368352280856121,0.0454067201228008,0.0493410657621162,0.0494944852362394,0.0235457465614012,0.201957551773423,0.14761375742117,0.133062295071428,0.00102423506028069,0.13422656387785,0.126742882240876,0.119500318581014
"result.18",20,0.0455622926586973,0.050554618638882,0.0571633555527157,0.0575254625096753,0.0724176598533425,0.0771710392186501,0.0811813641973909,0.0838363735865243,0.152113644698617,0.174721211454891,0.152865891174787,0.136084627176274,0.00485171050325531,0.107707648084525,0.125386839314452,0.120150983503911
"result.19",20,0.0590071205309609,0.0727720571393918,0.0760534588763473,0.07597650038012,0.301822536145484,0.384026080596972,0.462983699688438,0.46468487583895,0.0649758992883604,0.173605055763578,0.151718921399423,0.134848067313853,0.00384478497155984,0.104976578773259,0.126481654304696,0.119988233283434
"result.20",20,0.129762842535168,0.113931193127444,0.108243568387394,0.106796634926495,0.171655194483934,0.14421128040542,0.136070901038137,0.135476128077574,0.0235687333710078,0.196936897893085,0.147622305533305,0.132644370529253,0.00119650778055544,0.131998580207141,0.126413113144006,0.119592415042015
"result.21",20,0.0804647233828457,0.0892237565860315,0.093662361766102,0.0933120759002756,0.11358805544806,0.113667729159363,0.112856151274224,0.11335851933537,0.0131072679893364,0.198924901415543,0.147923573440786,0.133024804078225,0.000527354917077454,0.132166088271303,0.126797183201879,0.119544273914833
"result.22",20,0.11635360320814,0.0859364934446379,0.0842611082385602,0.0864182508740506,0.0496021513701195,0.0423462217925938,0.0459457062727778,0.0446734574125801,0.0522829264752371,0.177710670195944,0.150431230371238,0.134678719471835,0.00302705088223452,0.10767510951567,0.126624591573978,0.120185128969884
"result.23",20,0.176259219683307,0.172809947735245,0.186034805638974,0.182066935881472,0.0394176989777885,0.0513681691566284,0.0588787160177741,0.0617633349409328,0.0589965937424858,0.173189617735976,0.150981035667386,0.134321635956836,0.00322965743416148,0.104991968120089,0.126128897589347,0.119904459450606
"result.24",20,0.124698733848555,0.129622642878023,0.140393490819899,0.139582954199628,0.0689485576531511,0.0843921904629755,0.0961004432491321,0.0906988996113398,0.151049371567933,0.163642604546981,0.152885682905316,0.135920190233549,0.00403115581157834,0.100088936526996,0.125664267481399,0.120266627300315
"result.25",20,0.0676118579475926,0.0814395490831829,0.0866282678205779,0.086413572993078,0.0651742209109298,0.0434283296830689,0.0382164650205478,0.0379370084737687,0.0117884996899716,0.197659906381228,0.147913784132134,0.132716338651599,0.000509886966934527,0.133751795395536,0.126379823343371,0.119577606662669
"result.26",20,0.0848636220237106,0.0942458560640496,0.0973034602685754,0.0968324615686843,0.0386005530589149,0.0567553990493471,0.0589371859358959,0.0605680673348568,0.020194430625849,0.197105464694611,0.14745105824441,0.132880106805553,0.000906709631841445,0.13305223036687,0.126157081546912,0.11942009660027
"result.27",20,0.156714760893148,0.181578306601762,0.190112061906617,0.192704400783716,0.0645202785492444,0.0685431038441701,0.0711747507728966,0.0703402755312192,0.011059761983835,0.194490984395771,0.147500510061254,0.132956040427984,0.000409719590817515,0.127417969092144,0.12641806961536,0.119560715777562
"result.28",20,0.103415076177163,0.105713301437539,0.116739760861975,0.118155924498334,0.967784826525758,0.784463801208934,0.784389848159921,0.906283978564901,0.0490140981761481,0.150796677597378,0.154321105990209,0.136148303442163,0.00252989485264249,0.0880509284755708,0.125723614167073,0.120294140520085
"result.29",20,0.0894068751010431,0.0773079374609823,0.0733777290070484,0.0740075608573771,0.0805673382886306,0.0787181594944786,0.078824778952743,0.0786927113424217,0.0302578002104795,0.19573853699352,0.147041170969007,0.132998240768169,0.00125388504376496,0.133730358211061,0.12632295795255,0.119456248865369
"result.30",20,0.0553585467297723,0.0516180885067813,0.0526966184614697,0.051567622911048,0.0541706842127065,0.0693298672906942,0.0754536017360818,0.0772099498161751,0.0170626187475468,0.195672087232031,0.147871796718604,0.133215067633754,0.000855388716505381,0.130524514100967,0.126479211238165,0.119647779100598
"result.31",20,0.0429905084217226,0.0492996369031489,0.0531177624838029,0.0537773792561657,0.024808944328334,0.0432210132641347,0.0481084153928133,0.0498955205971413,0.0218554824723378,0.197076023807568,0.147496811674861,0.133131815046695,0.000758770743740272,0.132921616931711,0.126542318606321,0.119764428254627
"result.32",20,0.155897100854754,0.151808700334901,0.149222678632585,0.150659504181876,0.0792738165705909,0.0923590567336345,0.100919348503181,0.1044389308539,0.0113605550504254,0.195075496909903,0.148638348517785,0.132934658668162,0.000466661054192578,0.125629333133566,0.126799293341345,0.119608413215025
"result.33",20,0.104879039709648,0.0830954628061436,0.101996380030872,0.1038841537403,0.118258009885185,0.0824377004656459,0.12228765697566,0.133902448066043,0.0506485516571006,0.166617649391048,0.151023128705904,0.134608842423573,0.0032029242072818,0.101114313161018,0.12592970813986,0.119882652021559
"result.34",20,0.10199898808887,0.131689868696541,0.137787705865933,0.13408591563038,0.427735584891993,0.189530978314438,0.178662499638185,0.201979304295342,0.0306788133914566,0.196681164484231,0.150298187359605,0.134200242458823,0.00186259393462285,0.120844371603888,0.127114510146546,0.120242502396863
"result.35",20,0.0658815828595738,0.0721583154565821,0.0767548702559391,0.0781120083149889,0.0641505158916682,0.0970799478541104,0.104225418457647,0.108464115925298,0.0127110486992394,0.195520031766842,0.147146087551175,0.132851099284283,0.000676973073536513,0.132702460475887,0.126276959755587,0.119632521090249
"result.36",20,0.0341563341335242,0.0415083099572462,0.049715048303534,0.0496338416225065,0.0386752747762477,0.0437761416353261,0.0437465761597192,0.0431823921149699,0.103770059326734,0.166632072071528,0.152700750526737,0.135862214801337,0.00391459742891057,0.101152265709421,0.125632981682039,0.120198963506336
"result.37",20,0.0732735196922992,0.0717007841233911,0.0733863468281375,0.0741096126449804,0.0347662195606408,0.0457283392409129,0.0513841203529635,0.0522338614442465,0.0167589521430793,0.195832215139801,0.146942719723738,0.132854162533007,0.000701810370448562,0.133214927387988,0.126389212783318,0.119603250241033
"result.38",20,0.134321006466561,0.132501827717908,0.130189605629212,0.133035658537949,0.0432256562493787,0.050198554773168,0.049724869875305,0.0505347409533433,0.0124184212299491,0.198832716410682,0.146816958949072,0.133041991915655,0.00062890650120534,0.134232060235974,0.125869375609088,0.119678688351252
"result.39",20,0.0743929827544558,0.0827771182000099,0.0891439346119303,0.0890634041497332,0.0425683762161581,0.0510015683157257,0.0538995487869867,0.0555416711062587,0.0140355225349663,0.200557237772294,0.147787332049912,0.132864891825766,0.00069247905767393,0.135190861125863,0.126754220589214,0.119511677370599
"result.40",20,0.0609476123989251,0.0679280604828165,0.0705828531575678,0.0707162645144697,0.0220587926575719,0.0263464371845171,0.0289847705285612,0.0293512616130228,0.0133112440782479,0.194415684173284,0.147821037235811,0.132891690017021,0.000741917313332883,0.131801246361977,0.126481214836147,0.119359992457413
"result.41",20,0.0904375403434222,0.110117486190269,0.116939968356528,0.115541194975374,0.0117075297398707,0.0277033390765577,0.0369228773878678,0.0360598088834346,0.01458775518637,0.200288349570379,0.147830039036499,0.133000028520367,0.000822923933705724,0.13547225978536,0.126724924629015,0.119413683496616
"result.42",20,0.0756381459401804,0.0662458411843676,0.0667433440861011,0.0672873163789311,0.0442270923633278,0.0777399931036533,0.0880158681874218,0.0909062484789456,0.0131948941991515,0.19660970959268,0.146987690795663,0.132737043806839,0.000583310217911208,0.132244424428308,0.126111801577023,0.119498368051443
"result.43",20,0.164975843050262,0.203211786982991,0.213497283365959,0.216953541749229,0.0881237629424885,0.0807700938544722,0.0837765422015232,0.0873100002915342,0.0124789066857524,0.198354275129401,0.14783093273267,0.132814067020121,0.000390196852101846,0.132017485230565,0.126498202287444,0.119282097223676
"result.44",20,0.050316223575715,0.0535988442308104,0.0583271228620759,0.0571423693648947,0.0544300778270103,0.0643900933013731,0.0735511831225989,0.073684397053467,0.0580072059705164,0.176251608773991,0.151168823912622,0.134157051575479,0.00296320346845498,0.106940147765212,0.12678907144584,0.119901932160622
"result.45",20,0.0903386902201155,0.0995572833696751,0.10919174408378,0.114958082365055,0.0495332749665734,0.0539661988919318,0.058845788563041,0.0626166574989045,0.152191872803447,0.159591636722078,0.152931075703922,0.136461157334421,0.00394400341385747,0.0968645593497862,0.124094309708872,0.120322720009051
"result.46",20,0.11667677840096,0.114342264947953,0.118189893813291,0.12074152127546,0.100404518002414,0.109469874085378,0.118238528932695,0.12024707393494,0.056519217480367,0.169058026137523,0.151815707166584,0.134510498604705,0.00324849070300534,0.102537715211884,0.126552330919499,0.120113766113292
"result.47",20,0.0846914013646128,0.0615580222779783,0.0665845324852729,0.0653645679150444,1.60849703316041,0.994562249420293,0.945222048604425,0.924591085775086,0.0400495974758539,0.179209138011037,0.151165958760802,0.134603258396596,0.00222479747273168,0.108551353404961,0.126429622145692,0.119740746187101
"result.48",20,0.102908948564758,0.0994673181451333,0.099860690406103,0.100034253681307,0.0249003446569163,0.0361089131659319,0.042221852716948,0.0429649404462277,0.0115668138740133,0.198345022440317,0.147686855649402,0.13292576428777,0.000388211080842488,0.1300775447632,0.126541121801033,0.119534676726659
"result.49",20,0.0686093015650106,0.0766250747367777,0.0796897089907756,0.0809625212782465,0.0425472863914674,0.0764394332786066,0.087926317649698,0.0874880824803418,0.0148822561421641,0.200031690095522,0.14692952784725,0.132301591806033,0.000712041111719782,0.138803436621283,0.126702620213953,0.119392344091889
"result.50",20,0.140561376365448,0.157818008592338,0.163047828895718,0.163747564854229,0.0554425055647667,0.07362805400495,0.0764962232635642,0.0770149301428356,0.0236210882473414,0.199974614881877,0.147029650786484,0.132686200390579,0.00130610913841189,0.137581475801435,0.126648692778254,0.11929888672093
"result.51",20,0.0661900885596165,0.0994883662472927,0.106063712464336,0.106498718481408,0.0495880825377946,0.0651135221178193,0.0674966838597145,0.0665716536633434,0.0201197386345024,0.197015683642139,0.147027596031472,0.132863592633434,0.000876213530638617,0.132299502780495,0.126637392665887,0.119533508599414
"result.52",20,0.120534184485359,0.13443699135557,0.1402481641529,0.142375686610085,0.102585511254074,0.0992203215390979,0.0990823986258321,0.101874025400722,0.128185282231464,0.172138710639191,0.151605254351543,0.135445476789202,0.0439037002123682,0.108013798166719,0.125932607937576,0.120031847125403
"result.53",20,0.124508496580766,0.120057747248794,0.118866381687266,0.118968373907785,0.0476655646080126,0.0636960911486539,0.0836710449949207,0.0796243397849474,0.0631546122103768,0.17009645396976,0.151784247248484,0.135261346333624,0.00381108965470956,0.101959854461078,0.126248089468067,0.120304511387673
"result.54",20,0.103062433587806,0.118902452159859,0.12249274360759,0.124101564023122,0.0665723538100277,0.15361306193749,0.192996871512582,0.18904899096671,0.0345013873064901,0.199853769269367,0.147345943699254,0.132617600824771,0.00135484591905665,0.136194877825605,0.126317714022965,0.11934370589533
"result.55",20,0.0801456371220028,0.0884816481923806,0.094666914997039,0.0969038168556731,0.0314742795875032,0.0353854993363125,0.0481449510052217,0.0484853050242957,0.0620269112706106,0.163985321898782,0.151788207692911,0.13476584327315,0.00397804779548412,0.100225883064955,0.126024436634225,0.119951796120373
"result.56",20,0.101901576462104,0.103916984443777,0.108660312103175,0.113386529337309,0.434110352512653,1.00690774288481,1.12333156918856,1.04405006238982,0.103503427983332,0.161038834018433,0.152836312159681,0.135507876411837,0.00413237070810137,0.0985969544777709,0.125168831274582,0.120053517561781
"result.57",20,0.159712581681581,0.181903153360003,0.188555745372633,0.189689140855083,0.0360528435248972,0.0539351561389931,0.0610259415162961,0.0604534881915872,0.0189652826009581,0.198270405745864,0.147072024455829,0.132594394475085,0.000549883250009171,0.134962986749518,0.126379632740211,0.11945250129436
"result.58",20,0.121170771733619,0.129013910821503,0.132875723841595,0.132955956611621,0.10814115964173,0.124845799310432,0.127086189773867,0.129386493132555,0.0301742691843902,0.200695283533453,0.146836174832939,0.132538326347023,0.000924754455594486,0.137901897693462,0.126563280723376,0.11941659273305
"result.59",20,0.15985619474161,0.160301443250782,0.175760577276539,0.174076806014606,0.110294219898248,0.109317601978352,0.106865800875368,0.107706460511757,0.0544552307947597,0.174776235467856,0.151131514633623,0.134799518499184,0.00316494051266396,0.103608811767449,0.126833339547435,0.119895294426893
"result.60",20,0.102653643232256,0.108808178267325,0.120974673389407,0.120343707007118,0.0500602688560515,0.0513361857694413,0.0456300950986657,0.0486695888045912,0.0595010811764396,0.151108631287972,0.151862340892838,0.135748501573314,0.00309900195245588,0.0929519463390807,0.125466615405264,0.120041920152412
"result.61",20,0.0618459379265108,0.0576611717165132,0.0630212474450133,0.0633182398651243,0.036077372759801,0.0319982396786716,0.0271702397598579,0.0276258163792995,0.054896368495479,0.16497675663138,0.152622287408271,0.135696076502656,0.00310228493772438,0.0987708560851064,0.125828929590303,0.120397998429437
"result.62",20,0.178167081147785,0.183866884415672,0.199170779459383,0.200004483524176,0.0523183700624116,0.0660638990098541,0.0678857248579718,0.0715949060850264,0.107367017022742,0.164706552843072,0.152555991624496,0.13560307699491,0.00457652675586901,0.100379784372909,0.126194438853919,0.120122654732332
"result.63",20,0.139211108727623,0.134478644989265,0.141692722613747,0.141973868539905,0.282444884284353,0.248136325491108,0.226149062887071,0.238800603321849,0.0511713151030249,0.179375324430721,0.151883949122528,0.135007927473253,0.00335741738085796,0.107815907521785,0.126632759681213,0.120209350944211
"result.64",20,0.121207263607045,0.14246598872986,0.162856505890755,0.162268532763319,0.158311261488842,0.169025154662574,0.18438163136504,0.181941466958749,0.105171548646491,0.170287950406603,0.151020585373737,0.13514316018888,0.00415657030560836,0.108075983360968,0.126095803350379,0.119959067298883
"result.65",20,0.0769763040914249,0.0817062561018421,0.0851108790763865,0.0860343030357016,0.0359407392399938,0.037945340327759,0.0395721186939224,0.0402278221228084,0.0142636390123022,0.196962835370633,0.147452973205134,0.132992482602523,0.00065742314533289,0.128919316793838,0.126322121313048,0.119546580522787
"result.66",20,0.0848714990793314,0.0858044012221672,0.0974140627638974,0.100349785926645,0.791624281587755,1.17612340545328,1.28089832574351,1.31525554505481,0.100564389062247,0.156376074150407,0.152247638058905,0.135796319754668,0.00479053425044437,0.0950538897708519,0.124292773216866,0.119852642090349
"result.67",20,0.0820646544826725,0.0872722073156327,0.0875719012792393,0.0884796751137265,0.103997662918773,0.0951254131634579,0.0919806559806099,0.0918432880886778,0.0180430767208829,0.201583359385898,0.147076334018615,0.13239745419538,0.000779062777984805,0.139031602660181,0.126639393168074,0.119449633688627
"result.68",20,0.0939287020040368,0.0923957008955477,0.0935853951461503,0.090902962580544,0.473266080287222,0.314543600038113,0.288660693004535,0.314311871046819,0.106263896571942,0.157196308282226,0.15209162108061,0.135914786105484,0.00446561569812614,0.0977322350030533,0.124855557340454,0.120511917165268
"result.69",20,0.1205571195775,0.0556406416485052,0.06034267080983,0.0625385006738258,0.396752342064962,0.200389397079194,0.230408313170646,0.219292041493185,0.0476684034800222,0.169630724689916,0.15080339806807,0.134478872443281,0.00259778547072126,0.104288694359641,0.126246339635026,0.119959358051009
"result.70",20,0.188603037107638,0.180120248491537,0.179293595373044,0.179205220459375,0.156995732913102,0.154646857003142,0.149373043174928,0.148462124669256,0.0142090037714914,0.194965071245755,0.147018336374849,0.132789269689201,0.000541907302233556,0.131801659385834,0.126272327444052,0.119436965593817
"result.71",20,0.0813003095532697,0.108388932711116,0.113089109509632,0.114337959256539,0.0661635734410323,0.0873409800583109,0.103467805536819,0.10786018755599,0.0129501662427096,0.192838493751979,0.147770707394684,0.132889779655692,0.000547985265447782,0.130154168396749,0.12674100807993,0.119463101919173
"result.72",20,0.0866471643060197,0.0843004444211111,0.0920870511537005,0.0908415764132175,0.0888711215779445,0.133012607205113,0.177246653957566,0.178322681137362,0.105653855132471,0.161594336053517,0.151255497468387,0.135005934717501,0.00438645325077871,0.100783296984396,0.12525458703253,0.120056220050904
"result.73",20,0.0769761954020169,0.0660176772678839,0.077978809615241,0.0799275625928759,1.42146892976247,1.05986244858848,0.971095971331297,1.02289236639864,0.0498907805861998,0.144898998482907,0.153992433630804,0.135769040577965,0.00267935375725654,0.0872004786444826,0.125362670195598,0.119999989835978
"result.74",20,0.0741296769499616,0.0882827953794415,0.10109866048807,0.105253638296739,2.43814246892445,2.46951063677011,2.46741278399816,2.41205375982173,0.116142546128964,0.162974387402984,0.152734250288698,0.135958081422532,0.00533484251318577,0.100448323047298,0.125553742696986,0.12015121514878
"result.75",20,0.0751607100769435,0.099505371956541,0.10881886557015,0.109882041165086,0.381158598311282,0.207363941949372,0.193833462254641,0.203432208131346,0.044789822009403,0.187035204078075,0.150994036566462,0.134502965584196,0.00315441581267802,0.110294876514461,0.126744035236163,0.120250808879341
