,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,0.0005395183,5.93380838580462E-05,2.14230574426199E-05,1.15321626267763E-05,6.51223023227078E-06,4.79768577866498E-06,3.54628196977146E-06,2.25726131060105E-06,2.32817274432475E-06,1.593842849574E-06,1.30235199891878E-06,1.12412672215946E-06,0.000001049
3,avg.loss.mu.est.sample.mean,0.3042574766,0.3016918922,0.3001077103,0.2990568057,0.2998253424,0.3035070341,0.300927155,0.2983639894,0.3002634847,0.3010971576,0.2996744401,0.3011486378,0.3005692849
4,avg.loss.mu.est.EBMLE,0.2822825769,0.2576901782,0.2515691858,0.2497946775,0.2510269548,0.2501184532,0.2489843316,0.2485363814,0.2484479881,0.2494849882,0.2468362267,0.2492811546,0.247769998
5,avg.loss.mu.est.EBMOM,0.2635589475,0.2501372317,0.2460524284,0.2447162136,0.2462078846,0.2459765026,0.244761927,0.2441963376,0.24421464,0.2453894693,0.2429051628,0.245243332,0.2439173957
6,avg.loss.mu.est.JS,0.2727618663,0.2640624402,0.2605793531,0.2597661312,0.2615650883,0.2619219683,0.2603649955,0.2593552762,0.2597463045,0.2610338962,0.258616081,0.2610811428,0.2596577574
7,avg.loss.mu.est.oracle,0.1904682723,0.1929127654,0.192720642,0.1922795089,0.1941174466,0.1949616452,0.1946295443,0.1939644792,0.1940636999,0.1944588691,0.1936783442,0.1944911374,0.1946648103
8,avg.loss.mu.est.SURE.G,0.2505593315,0.2395965611,0.2360134159,0.2345696614,0.2358755986,0.2362741493,0.2348836127,0.2340522001,0.2342487363,0.2353978544,0.2331620009,0.2352176642,0.2341622878
9,avg.loss.mu.est.SURE.M,0.2191078647,0.2034711362,0.1986551976,0.1967559834,0.1975666332,0.19776906,0.196902957,0.1959096768,0.1958199227,0.1961082487,0.1950475928,0.1958255138,0.1958803785
10,avg.loss.mu.est.SURE.SG,0.3069410742,0.3061066444,0.3069800647,0.3055519848,0.3070721583,0.3079821793,0.3068864381,0.3058364839,0.3068616708,0.3075284224,0.3059474723,0.3080277921,0.3063437227
11,avg.loss.mu.est.SURE.SM,0.2267335691,0.2011849451,0.1912003217,0.1865493206,0.1859749905,0.1847365973,0.1832014442,0.1818930719,0.1808308393,0.1804171216,0.1791249297,0.1792040405,0.1794641705
12,avg.loss.mu.est.gl,0.1911051953,0.1660245884,0.1582627499,0.1556465732,0.1558172036,0.1550492762,0.1542409735,0.1533422123,0.1525207476,0.1523757212,0.1519606362,0.1522441931,0.1524286218
13,avg.loss.mu.est.gl.SURE,0.1911051953,0.1660245884,0.1582627499,0.1556465732,0.1558172036,0.1550492762,0.1542409735,0.1533422123,0.1525207476,0.1523757212,0.1519606362,0.1522441931,0.1524286218
14,avg.loss.mu.est.gl.dynamic,0.2673644251,0.2559764958,0.2507677613,0.2487967479,0.2487798717,0.2493594969,0.2474381377,0.245695795,0.2462865438,0.246756985,0.2453001844,0.2466923528,0.245766824
15,avg.loss.mu.est.gl.dynamicMin,0.2671417938,0.2577402086,0.2529684684,0.2508459115,0.2519063815,0.2519385966,0.2501293604,0.24846725,0.2489407665,0.2494290574,0.2475638085,0.2491994418,0.2480872515
16,avg.loss.mu.est.gl.dynamicMin2,0.2636782042,0.2554065851,0.2510106569,0.249305527,0.250447935,0.2507796516,0.2490400043,0.2473022564,0.247857653,0.248565522,0.246657706,0.2483012379,0.2473702488
17,avg.loss.mu.est.gl.dynamicMin3,0.2625752046,0.2538873726,0.2499408456,0.2482196258,0.2493406779,0.2500232778,0.2482743429,0.2465979136,0.2471359659,0.2479930225,0.2460221892,0.2477478295,0.2467530925
18,avg.loss.mu.est.DPMM_ng,0.1774771355,0.160914276,0.1560586334,0.1546509997,0.1553626132,0.1546453603,0.1540662085,0.1533035374,0.1524669633,0.1523092451,0.1519471527,0.1522041313,0.1524176958
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
