"","measure","value","value","value","value","value","value","value","value","value","value","value","value","value"
"1","q",20,60,100,140,180,220,260,300,340,380,420,460,500
"2","avg.loss.mu.est.true.oracle",0.000743794953193138,7.59432586477756e-05,3.2604741467504e-05,1.73124032383544e-05,9.38118164764659e-06,6.6471703122131e-06,4.19736233107045e-06,3.70000161956911e-06,2.63698469555399e-06,2.29593042599039e-06,1.75669373334086e-06,1.42339264919237e-06,1.21530474043963e-06
"3","avg.loss.mu.est.sample.mean",0.748870457676313,0.741865735379358,0.753491774150002,0.7503630686735,0.750948346395206,0.752271275551388,0.745249259180882,0.749734164327511,0.755283448487735,0.750747458802055,0.748537157053975,0.75466151645789,0.752988743586277
"4","avg.loss.mu.est.EBMLE",0.528505023000666,0.494229098968408,0.493707809665054,0.489602049872514,0.492471826187075,0.493205624417122,0.488887970379764,0.490499432558699,0.492369999792015,0.489132644082632,0.489694118151186,0.490936570374708,0.492019170381865
"5","avg.loss.mu.est.EBMOM",0.533508737173644,0.493544720650674,0.490274135192175,0.4860895224354,0.488681257475417,0.48939025841465,0.485133285378355,0.486594272615896,0.487932479690302,0.484432560253347,0.485510028698235,0.486238105629097,0.487368041724467
"6","avg.loss.mu.est.JS",0.577046430519179,0.572518553084783,0.587707041061907,0.587421229470708,0.59157632624673,0.59285731196,0.589287577185191,0.595743951661821,0.599670099357088,0.598393464207099,0.596295297997459,0.602042032890452,0.602601882206646
"7","avg.loss.mu.est.oracle",0.425217316387145,0.436344737889538,0.44272560769858,0.441761136472172,0.447019008377242,0.448701715088192,0.445226889627975,0.447773719467078,0.449393407607427,0.4469101505656,0.447038072843001,0.448672505178887,0.449609108727263
"8","avg.loss.mu.est.SURE.G",0.505462902096635,0.475276279290962,0.471846441374944,0.468123929211578,0.471180849519811,0.471806003441161,0.467918713942536,0.469350229995008,0.470391388519651,0.466952655546525,0.468284028710736,0.468594716720736,0.469716187159633
"9","avg.loss.mu.est.SURE.M",0.489623683162211,0.458768218324143,0.454871287651116,0.450090476730676,0.453243956362138,0.453344989789075,0.44921010750188,0.450956725363632,0.451727134152241,0.448783230083622,0.448911055571537,0.449901159130719,0.450559627095918
"10","avg.loss.mu.est.SURE.SG",0.584514404329719,0.551325354233921,0.55025382548056,0.543993689339943,0.547354089168964,0.548857808284929,0.543613125208635,0.543728186777851,0.546123977709444,0.542031507071747,0.544826896377874,0.543985699278644,0.546794022763912
