,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,0.0016371158,0.00019107,6.78784669599522E-05,2.97751691085136E-05,2.01331881340991E-05,1.17267747684439E-05,0.000010385,7.02224976024072E-06,5.60228270112628E-06,4.50056981808292E-06,3.91483669027013E-06,3.31622824413454E-06,2.678277551113E-06
3,avg.loss.mu.est.sample.mean,0.5584606149,0.5487452418,0.5500078028,0.547108624,0.5494478292,0.5510847544,0.5496355351,0.5503306959,0.5524543338,0.5515357232,0.5464193248,0.5511212004,0.5517743005
4,avg.loss.mu.est.EBMLE,0.457622931,0.4347336945,0.4302350223,0.4295753247,0.4292985785,0.4299256852,0.4278931735,0.4264602292,0.4284457333,0.4282660772,0.4255588072,0.428561124,0.4280629409
5,avg.loss.mu.est.EBMOM,0.4578914431,0.4353066136,0.430637792,0.4298663417,0.4295292889,0.4301051055,0.42805408,0.4266059682,0.4285614081,0.4283800093,0.4256574438,0.4286607312,0.4281491428
6,avg.loss.mu.est.JS,0.4733248733,0.4540169487,0.4512693225,0.4498793902,0.4508155487,0.4517315412,0.4499152843,0.4492533498,0.4512185208,0.4506181687,0.446975563,0.4505575563,0.450464552
7,avg.loss.mu.est.oracle,0.425832929,0.4248939405,0.4242122682,0.4252980479,0.4260683071,0.4273640303,0.4255922872,0.4245102259,0.4268813214,0.4267204621,0.4242030573,0.4272242287,0.4268858928
8,avg.loss.mu.est.SURE.G,0.4644100248,0.4382809577,0.4324043626,0.4312263741,0.4305778415,0.4309060346,0.4287599462,0.4272194392,0.4290697234,0.4288665192,0.4260995231,0.4290949247,0.4285107352
9,avg.loss.mu.est.SURE.M,0.4690202144,0.4394410746,0.4332142926,0.4315949896,0.4310256624,0.4312488061,0.4290511739,0.42747495,0.4292866443,0.4290293858,0.4262783691,0.4292365215,0.428626176
10,avg.loss.mu.est.SURE.SG,0.5316406146,0.4798630563,0.4641268832,0.4576774372,0.4530699058,0.4495403477,0.4464166897,0.4426485344,0.4435183441,0.4421957265,0.4384541093,0.440808972,0.439463582
11,avg.loss.mu.est.SURE.SM,0.5268716886,0.4827161304,0.4672516768,0.4596054136,0.4548302158,0.4507536171,0.4473595685,0.4434477677,0.4442002056,0.4427283881,0.4389461778,0.4412417864,0.4398643031
12,avg.loss.mu.est.gl,0.4743949248,0.4466155162,0.4400895478,0.4383298159,0.4370573408,0.4371228148,0.4342717474,0.4322533545,0.4337060328,0.4334158049,0.430306017,0.4332243469,0.4322384734
13,avg.loss.mu.est.gl.SURE,0.4783528319,0.4517114174,0.4443742745,0.4417101867,0.4406159022,0.4394799014,0.436861746,0.4345472779,0.4360770472,0.4352051758,0.4320849466,0.4349934004,0.433972624
14,avg.loss.mu.est.gl.dynamic,0.4869469594,0.4602586498,0.4545573038,0.4514516312,0.4507264752,0.4504746231,0.4480710626,0.4461674665,0.4476832182,0.4473650546,0.4434851148,0.4469272172,0.4461740989
15,avg.loss.mu.est.gl.dynamicMin,0.4794722538,0.4593374914,0.453012925,0.4520445166,0.4522650042,0.4514056657,0.4495814873,0.4474835039,0.4498319371,0.4488066679,0.4452501549,0.4487752428,0.4476234115
16,avg.loss.mu.est.gl.dynamicMin2,0.4804320987,0.457202104,0.4514232267,0.450299988,0.4508056094,0.4501796931,0.4482192183,0.4465790054,0.4487727185,0.4478349286,0.4443168441,0.4477509502,0.4468886071
17,avg.loss.mu.est.gl.dynamicMin3,0.478822294,0.4550529149,0.4500692792,0.4488651285,0.4492600629,0.4495423855,0.4473037904,0.4457781386,0.4478588127,0.4471754529,0.4435522933,0.4471535084,0.4463086787
18,avg.loss.mu.est.DPMM_ng,0.4011414555,0.2766349493,0.264463548,0.2673212369,0.2698434021,0.2722614073,0.2703169329,0.2683326857,0.2700023836,0.2708161158,0.261682407,0.2678803291,0.2619882758
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
