,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,0.0005734632,6.19161413218174E-05,2.29080650155409E-05,1.27510918863718E-05,8.05523657709113E-06,5.0122171080334E-06,4.1387141049567E-06,2.73952593972816E-06,2.18123657017473E-06,1.71632224147764E-06,1.39653435523958E-06,0.000001147,9.17129391046464E-07
3,avg.loss.mu.est.sample.mean,0.5585519722,0.5487414235,0.5510260948,0.5465916027,0.5478590802,0.5524799206,0.5496281966,0.5492698681,0.5502357502,0.5531463758,0.5475420954,0.5510907709,0.5494259603
4,avg.loss.mu.est.EBMLE,0.3660522502,0.3443009353,0.341286709,0.3384927844,0.3408349243,0.3382622519,0.3373686603,0.3382079025,0.3380050566,0.33775741,0.3362023159,0.3378976735,0.3377501098
5,avg.loss.mu.est.EBMOM,0.3667440068,0.3447918904,0.3415221286,0.3386808025,0.3409684741,0.3385102263,0.3374846894,0.3382893328,0.3380552355,0.3378706568,0.3362945292,0.337978958,0.337836046
6,avg.loss.mu.est.JS,0.3900976852,0.3690649166,0.3667156842,0.3646040955,0.3670297949,0.3660631402,0.3651553235,0.3657597879,0.3648933999,0.3655182941,0.3629765623,0.3651546829,0.3645418714
7,avg.loss.mu.est.oracle,0.317404879,0.3290499836,0.3320659253,0.3320379579,0.3355847866,0.3341307581,0.334142649,0.3352451809,0.3354139026,0.3354894067,0.334240504,0.3358973473,0.3359037779
8,avg.loss.mu.est.SURE.G,0.3718399876,0.34762218,0.3433061896,0.3399263774,0.3419180682,0.3394250167,0.338177003,0.338862801,0.3385475678,0.3383757736,0.3367429663,0.3383909929,0.3382541015
9,avg.loss.mu.est.SURE.M,0.3774882825,0.3491013841,0.3441211891,0.3406843063,0.3425006946,0.3398693438,0.3386144098,0.3392893395,0.338795161,0.3386433908,0.3370535085,0.3386261127,0.3384693833
10,avg.loss.mu.est.SURE.SG,0.3922869331,0.3652296594,0.3581276019,0.3520858789,0.3522102182,0.3487811035,0.3469003047,0.3464217088,0.3458852409,0.3449416722,0.3432226841,0.3446248242,0.3434658757
11,avg.loss.mu.est.SURE.SM,0.4137562551,0.3706832077,0.3609482759,0.3542059345,0.3538756707,0.3500136532,0.3480988129,0.3473141823,0.3465855104,0.3455852028,0.3439092658,0.3452290547,0.3439284536
12,avg.loss.mu.est.gl,0.3940604619,0.3602383195,0.3541701671,0.350492958,0.3500993762,0.3480062539,0.345622838,0.3453103622,0.344366845,0.3444486405,0.3425699937,0.3437241403,0.34313169
13,avg.loss.mu.est.gl.SURE,0.4037901748,0.364353966,0.3566677325,0.3516094651,0.3520517322,0.348990967,0.3467794248,0.3468357995,0.3455770921,0.3455168962,0.3433440462,0.3444593046,0.3438507484
14,avg.loss.mu.est.gl.dynamic,0.4248340588,0.3871288067,0.3761889532,0.3696228247,0.3695368963,0.3659597253,0.3639034742,0.3645473473,0.362399156,0.3625378488,0.3593379536,0.3612286408,0.3605591007
15,avg.loss.mu.est.gl.dynamicMin,0.424503975,0.3940556541,0.387024366,0.3813115218,0.3818094757,0.3780425037,0.3756245455,0.3750915586,0.372858035,0.3727452851,0.3697798697,0.370842602,0.3693976048
16,avg.loss.mu.est.gl.dynamicMin2,0.4106623259,0.3872015491,0.3815671094,0.3761515662,0.37728222,0.37304812,0.3710810564,0.3713465196,0.3690323607,0.3695966011,0.3660047041,0.3678768762,0.3667230681
17,avg.loss.mu.est.gl.dynamicMin3,0.4063381572,0.3812850128,0.3767977753,0.3714540713,0.3730240476,0.3698550039,0.3682471534,0.3686377848,0.3665759913,0.3671279935,0.3637140279,0.3655926955,0.3647494659
18,avg.loss.mu.est.DPMM_ng,0.3712314157,0.3550032998,0.3495991837,0.3454249026,0.3470283634,0.3444501028,0.3432973722,0.3441230341,0.3433555928,0.3428753576,0.3411458957,0.3427483634,0.3425732409
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
