,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,0.0020093428,0.0002280255,9.1093633424375E-05,4.73288172882336E-05,2.44634100836058E-05,2.06197415835048E-05,1.26573831740008E-05,1.10196801842799E-05,0.000007418,6.15556822700937E-06,5.18387487126452E-06,3.85291329866928E-06,3.84723784405095E-06
3,avg.loss.mu.est.sample.mean,0.8941205368,0.9115943533,0.8993218392,0.8993632554,0.8954743551,0.8969793594,0.8930452352,0.8942789393,0.8927000325,0.8976226589,0.8992384103,0.9030810134,0.8922391439
4,avg.loss.mu.est.EBMLE,0.8599285119,0.8472379681,0.8484216222,0.8432302217,0.8441700603,0.8437594617,0.842234972,0.839150738,0.8426064093,0.8456669507,0.8420339058,0.8451388595,0.8381816486
5,avg.loss.mu.est.EBMOM,0.8512589594,0.8443843931,0.8459532533,0.8411664477,0.8421452316,0.84175776,0.8403427322,0.8373859788,0.8407335227,0.8438302229,0.8403142168,0.8434725461,0.8365309771
6,avg.loss.mu.est.JS,0.8583631969,0.8707816428,0.8589335831,0.8570354617,0.8533205813,0.8545669441,0.8513013233,0.8522418548,0.8509204976,0.8563410979,0.8573005149,0.8604688729,0.8499421049
7,avg.loss.mu.est.oracle,0.742721763,0.7521159125,0.7628826183,0.7601426861,0.7620118924,0.7618665524,0.7630312807,0.7608087848,0.763045837,0.7651570691,0.7621676886,0.7648866681,0.7617756189
8,avg.loss.mu.est.SURE.G,0.864553634,0.8543388273,0.8435060126,0.8390718803,0.8379330395,0.8370875694,0.8337427538,0.8315658663,0.8333990022,0.835768254,0.8341497743,0.8367464006,0.8295181156
9,avg.loss.mu.est.SURE.M,0.8292981221,0.8016352885,0.7881224035,0.7805978113,0.7779517992,0.7758901869,0.7739969035,0.7706120107,0.7719220434,0.7730551082,0.7708754962,0.7726990105,0.7682529566
10,avg.loss.mu.est.SURE.SG,0.9560495481,0.9178159183,0.8983527222,0.8879242223,0.8823121826,0.8751853456,0.8709156463,0.8665034622,0.8673572534,0.8654498839,0.8630446575,0.8645211827,0.8563287227
11,avg.loss.mu.est.SURE.SM,0.726833605,0.70671008,0.6894521167,0.6762636092,0.6816655599,0.6780159128,0.6771642108,0.6699855231,0.6787618022,0.6741609954,0.6723939867,0.6735303966,0.6722206336
12,avg.loss.mu.est.gl,0.8252988019,0.7829218744,0.7536967516,0.7413357377,0.7384095222,0.7373561056,0.726997117,0.7199581615,0.7204295113,0.7205051398,0.7197871325,0.7203327296,0.7139333466
13,avg.loss.mu.est.gl.SURE,0.7907693786,0.7523720864,0.7286230871,0.7191788568,0.7234750854,0.7213853143,0.7134172059,0.7101125062,0.7148083519,0.7143362007,0.711516872,0.7154172862,0.7077418848
14,avg.loss.mu.est.gl.dynamic,0.8587870971,0.8699008248,0.8557638747,0.8535476825,0.8494955571,0.8505087045,0.8471026188,0.847795267,0.8461533685,0.8512862565,0.8521864247,0.8552888934,0.8451362529
15,avg.loss.mu.est.gl.dynamicMin,0.8560480362,0.8687417606,0.854950329,0.8533295378,0.8495786781,0.8502477192,0.8472089433,0.847723676,0.8461995734,0.8515030075,0.8522118322,0.8552868651,0.8452428709
16,avg.loss.mu.est.gl.dynamicMin2,0.858767814,0.8689343201,0.8548528556,0.8531499658,0.8494181367,0.8501596319,0.8470449545,0.8476235646,0.8460210927,0.8514408868,0.8520982073,0.8551907036,0.8451481343
17,avg.loss.mu.est.gl.dynamicMin3,0.8599300842,0.8688236064,0.8546257478,0.8529477538,0.8492507411,0.8500294977,0.8469138748,0.8475361546,0.8459099473,0.8512934546,0.8520256899,0.8551084642,0.8450574978
18,avg.loss.mu.est.DPMM_ng,0.3635802743,0.2869344516,0.27150361,0.2600688074,0.2591758615,0.2545908796,0.2499186708,0.2478901823,0.2494893721,0.2493528196,0.2448013463,0.2478802498,0.2452635644
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
