,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,0.0001688541,2.31692017964928E-05,8.30371847008578E-06,4.26940329932469E-06,2.32321841156264E-06,1.65439721410696E-06,1.17989332009264E-06,9.83926463813074E-07,7.44485686466482E-07,5.93475957327309E-07,5.30403603832279E-07,0.000000407,3.3429653685983E-07
3,avg.loss.mu.est.sample.mean,0.5510818074,0.5562321389,0.5518971002,0.548856632,0.550643422,0.5449378512,0.548166778,0.551142713,0.5501934733,0.5482210455,0.5519163549,0.5522924632,0.5520146388
4,avg.loss.mu.est.EBMLE,0.1048517069,0.0876016394,0.0859568749,0.0834708009,0.0816918884,0.0809762128,0.0804042043,0.0803244131,0.080020722,0.0801061313,0.079248008,0.0791470909,0.0797415841
5,avg.loss.mu.est.EBMOM,0.1443841447,0.0998902003,0.0884479545,0.0899785979,0.0823192954,0.1185027767,0.0799828234,0.0803261061,0.0795076092,0.079131998,0.0785787735,0.0781985361,0.0785946841
6,avg.loss.mu.est.JS,0.1261388983,0.095438945,0.0912232328,0.0873135651,0.0854089132,0.0839965992,0.0835165947,0.0838655648,0.0831202163,0.082915181,0.0824068974,0.0821228329,0.0824572153
7,avg.loss.mu.est.oracle,0.0514758362,0.0529102692,0.0529388971,0.053674954,0.0537601499,0.0537568836,0.0538526666,0.0539842481,0.053754938,0.0535626124,0.0537501399,0.0537307519,0.0538352247
8,avg.loss.mu.est.SURE.G,0.1034150647,0.0733590664,0.0662472823,0.0633759212,0.0617019704,0.060255633,0.0596236995,0.0594527273,0.0587640813,0.058310132,0.0580196384,0.0577959304,0.0578210173
9,avg.loss.mu.est.SURE.M,0.1042842224,0.073292263,0.0657078686,0.0630909434,0.0613497403,0.0596977861,0.0590676234,0.0587023521,0.0578767957,0.0573419891,0.0571089622,0.0568379228,0.0566708174
10,avg.loss.mu.est.SURE.SG,0.1251288789,0.0849848736,0.0741737002,0.0695381808,0.0663993827,0.0639052864,0.0627209237,0.0622843505,0.0611085973,0.0602282219,0.0598265805,0.0594997738,0.0591064986
11,avg.loss.mu.est.SURE.SM,0.138227442,0.0874781469,0.073770539,0.069130672,0.0655426575,0.0625330088,0.0613822312,0.0603756168,0.05890034,0.0579230825,0.0576010801,0.057342598,0.0565497004
12,avg.loss.mu.est.gl,0.1441561469,0.0653845047,0.0460839583,0.037497114,0.0310825984,0.0273080294,0.0239768759,0.0218443141,0.0196070192,0.0187166475,0.0173981518,0.0165065071,0.0152697293
13,avg.loss.mu.est.gl.SURE,0.1680999637,0.0800490816,0.0590233035,0.0489609763,0.0430133997,0.0365652271,0.0316018518,0.0305148257,0.0276826312,0.0251928349,0.0232568375,0.0212360041,0.0202925867
14,avg.loss.mu.est.gl.dynamic,0.2171792724,0.1481283457,0.1222774239,0.107439908,0.0993651927,0.0917182134,0.0890145629,0.0856821075,0.0824183589,0.0803821164,0.0792201191,0.0781571798,0.0767019227
15,avg.loss.mu.est.gl.dynamicMin,0.2139607433,0.1438478773,0.1233782486,0.1160574905,0.1099149059,0.1029045574,0.1001411838,0.0987599804,0.0974128886,0.0946408021,0.0929679257,0.0913686171,0.0908612863
16,avg.loss.mu.est.gl.dynamicMin2,0.1832026841,0.1279925648,0.1132269467,0.1055810432,0.1004285689,0.0953957228,0.0926157107,0.0923263937,0.0897441904,0.0875668175,0.0865973259,0.0850733783,0.0853290418
17,avg.loss.mu.est.gl.dynamicMin3,0.1727016944,0.1171010499,0.1048869479,0.0972225996,0.0928164962,0.0899084622,0.0875133277,0.087125606,0.0847518915,0.0829108732,0.0818941388,0.0808776274,0.0811270823
18,avg.loss.mu.est.DPMM_ng,0.1329018487,0.0893309186,0.0687659899,0.0580231969,0.051800742,0.0462460178,0.0436068271,0.0414431744,0.0388998672,0.0372007504,0.0359865556,0.0348964769,0.033945738
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
