,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,1.18395609317636E-05,1.28645770571099E-06,4.34755611110821E-07,2.31528113240153E-07,1.21074877086276E-07,9.93828723391738E-08,7.07109882154787E-08,0.000000048,3.43586070412969E-08,3.3118289916924E-08,2.40740145379762E-08,2.47939465658122E-08,1.76649543242315E-08
3,avg.loss.mu.est.sample.mean,0.1263614966,0.123195328,0.1241881701,0.1241948409,0.1249547963,0.1248914504,0.1248758585,0.1256262748,0.1244321566,0.1253385817,0.1247543983,0.1251030289,0.1249234641
4,avg.loss.mu.est.EBMLE,0.0131310945,0.0077942624,0.0072792707,0.0068817546,0.0067794754,0.0065087431,0.0064169793,0.0063624045,0.0062421258,0.0061866415,0.0061092094,0.0059417791,0.0060870941
5,avg.loss.mu.est.EBMOM,0.022503644,0.0104626136,0.0085356078,0.0080939612,0.0076324134,0.0071614176,0.0070400872,0.0070140927,0.0067091268,0.0066635409,0.0065379421,0.0063673685,0.0064929782
6,avg.loss.mu.est.JS,0.0176584851,0.0086086863,0.0075999065,0.007058805,0.0068423038,0.0065476725,0.006448709,0.0064181202,0.0062095414,0.0061542366,0.0060836601,0.0059111484,0.0060395493
7,avg.loss.mu.est.oracle,0.0047512696,0.0047276483,0.0051996958,0.005135907,0.0053103624,0.0050920233,0.0051944327,0.0051370471,0.0050869544,0.0051247869,0.005054332,0.0049650925,0.0050836442
8,avg.loss.mu.est.SURE.G,0.0176790398,0.0083411491,0.0072890361,0.0066984539,0.0068204125,0.0062808894,0.0060373605,0.00613801,0.0057414723,0.0057320775,0.0056315064,0.005510461,0.0055806804
9,avg.loss.mu.est.SURE.M,0.0172088684,0.0083474104,0.0073016422,0.0067289285,0.006825017,0.0063044832,0.0060484346,0.0061484901,0.0057488944,0.0057431456,0.0056417552,0.00552602,0.0055893257
10,avg.loss.mu.est.SURE.SG,0.0225148439,0.0115270557,0.0096328423,0.0085223441,0.0080487189,0.0075717552,0.0071828775,0.007059469,0.0066591729,0.0065638645,0.0064029051,0.0062570112,0.0062486348
11,avg.loss.mu.est.SURE.SM,0.0248515339,0.0119621286,0.0097663173,0.0086676786,0.0081642718,0.007635426,0.0072169208,0.0071121993,0.0066960975,0.0066046752,0.0064286802,0.0062951798,0.0062785415
12,avg.loss.mu.est.gl,0.0435377652,0.0215405842,0.0170885448,0.0156388522,0.0128977463,0.0123109789,0.0106013455,0.0099715175,0.0085392288,0.0090562276,0.007937298,0.0074462219,0.0071927679
13,avg.loss.mu.est.gl.SURE,0.049187507,0.0203958904,0.0140726935,0.0119163705,0.0104068717,0.0091888825,0.0083519315,0.008309122,0.0073185419,0.0072189086,0.0064157393,0.0064058401,0.0061440029
14,avg.loss.mu.est.gl.dynamic,0.0466349111,0.0254655636,0.0198791352,0.0165522258,0.014496495,0.0128729021,0.0118266316,0.0112275115,0.0100105212,0.0099438811,0.0091273566,0.0087496978,0.0089433909
15,avg.loss.mu.est.gl.dynamicMin,0.0454141412,0.024507506,0.0202218107,0.0183072347,0.0166431695,0.0156380037,0.0149239656,0.014555459,0.0137590254,0.0134653981,0.0127387621,0.0124567995,0.0120650149
16,avg.loss.mu.est.gl.dynamicMin2,0.0386978293,0.0213111583,0.0174658876,0.015961773,0.0146455242,0.0137047766,0.0130798757,0.0128097022,0.0119540053,0.0117796334,0.0111944223,0.0110299139,0.010829907
17,avg.loss.mu.est.gl.dynamicMin3,0.0363729282,0.0188140226,0.0159352126,0.0141782691,0.0131034921,0.012298135,0.0119197168,0.0116356228,0.0106748889,0.0108306311,0.0102264732,0.0099960151,0.009894767
18,avg.loss.mu.est.DPMM_ng,0.0242186986,0.0138098135,0.0114802662,0.010218623,0.00953387,0.0089645752,0.0085400772,0.0083394407,0.0079047469,0.0077381819,0.0075666316,0.0073107847,0.0072919515
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
