"","measure","value","value","value","value","value","value","value","value","value","value","value","value","value"
"1","q",20,60,100,140,180,220,260,300,340,380,420,460,500
"2","avg.loss.mu.est.true.oracle",0.00160415799828106,0.000182130233785078,7.24562983470672e-05,3.56022936614101e-05,1.97318150537954e-05,1.40047157874884e-05,9.37054059494662e-06,8.10715761120236e-06,6.40460589819796e-06,5.02885656238235e-06,3.92250486775597e-06,3.18889696947803e-06,2.71644358506247e-06
"3","avg.loss.mu.est.sample.mean",0.552558148162353,0.546308726563891,0.549212649113641,0.546876261170692,0.55140426427052,0.551989993848195,0.546541982053048,0.549283205607535,0.552007447488548,0.550198906653187,0.547600743457193,0.552174708176362,0.551112428210552
"4","avg.loss.mu.est.EBMLE",0.485548439588882,0.468673978928649,0.466160931767091,0.466696943482575,0.469562003642724,0.468281586726511,0.463735619965775,0.466481732852446,0.468092458410421,0.467026630025818,0.465167087922162,0.468561328752688,0.46673413408814
"5","avg.loss.mu.est.EBMOM",0.486893632317938,0.470024035912332,0.467268435553148,0.467865402587951,0.470706322916649,0.469242382556236,0.464700163698856,0.46746307157649,0.469035623247718,0.467977346900794,0.466159123313314,0.469498791729575,0.467622489396455
"6","avg.loss.mu.est.JS",0.498175557520278,0.492712019054118,0.496249130272589,0.495176915876103,0.499894404698221,0.500701771448155,0.495778956672019,0.499343771642665,0.501967419929534,0.500552050175952,0.498566395723725,0.502641433312243,0.502007187340886
"7","avg.loss.mu.est.oracle",0.449869440170642,0.458412526212453,0.460733513629709,0.463127429221931,0.466740362894432,0.46610201352705,0.462259332238372,0.465192175379722,0.467011625747439,0.466171839736584,0.464506335967341,0.467996850279884,0.466272376730761
"8","avg.loss.mu.est.SURE.G",0.50225182285613,0.480846177785985,0.476032451278017,0.476747103117524,0.479295170792177,0.476892890797501,0.472374112866138,0.475231380504713,0.476571379510213,0.475442979272538,0.473838033922242,0.476943484926279,0.474736815034497
"9","avg.loss.mu.est.SURE.M",0.507281687410712,0.482958782844992,0.477411921353706,0.477665343984917,0.479966198056553,0.477173349838567,0.47281006128022,0.47564271483098,0.476937300238797,0.475740099421826,0.474116128869096,0.477215003944148,0.474946541994965
"10","avg.loss.mu.est.SURE.SG",0.587977039764041,0.555388197169528,0.54061660351044,0.537173903950909,0.535703450061712,0.53017088954694,0.523564617796364,0.524372549989005,0.524228268624885,0.521141275309192,0.51997335526087,0.521314138188254,0.518499358831397
"11","avg.loss.mu.est.SURE.SM",0.559917313216509,0.550947554147495,0.540584638386037,0.538588932624683,0.536538840984283,0.531160246328657,0.524881054459877,0.525806204296652,0.525585282783506,0.522513208845223,0.52141374664689,0.522576046322253,0.519666859700491
"12","avg.loss.mu.est.gl",0.492564320021065,0.471867349058519,0.476512323938295,0.481018487468273,0.483946134640838,0.484635418591099,0.481523887416572,0.484765449942163,0.485838581270515,0.486961192347501,0.485724028047998,0.489523079116265,0.487101707358601
"13","avg.loss.mu.est.gl.SURE",0.499301002478992,0.487257912447068,0.48846971011066,0.49133173110661,0.495658613069968,0.494306167757649,0.490786752533833,0.494947899909034,0.496785019785388,0.49566408372383,0.494406343021602,0.498172318567986,0.495935874221354
"14","avg.loss.mu.est.gl.dynamic",0.489503264091829,0.463019636385327,0.458032446436949,0.455690950759686,0.458175853238237,0.45540174900329,0.448729706427789,0.452127218849589,0.452537306477594,0.451087525234602,0.448957145697679,0.452220994835279,0.4502649316212
"15","avg.loss.mu.est.gl.dynamicMin",0.485992081351126,0.464067310501407,0.459895609706796,0.457988122082292,0.461154170687188,0.458600620620393,0.453134070405697,0.456618743598437,0.456900659510594,0.455599457874237,0.453882895531147,0.456838053466743,0.455398869604995
"16","avg.loss.mu.est.gl.dynamicMin2",0.483409425600813,0.461290398466112,0.45758800219027,0.455707397404379,0.459050790921909,0.456647419749633,0.451281238452911,0.454645242628209,0.454984216006484,0.453880702491696,0.45212864686592,0.45528949827113,0.45362592466703
"17","avg.loss.mu.est.gl.dynamicMin3",0.481326477935776,0.45938070773194,0.455908467157978,0.453632188019662,0.456988298482829,0.455169524029654,0.449876935544534,0.453099403063302,0.453734984381871,0.452773803688011,0.450795218923611,0.454008379625433,0.45223990990264
"18","avg.loss.mu.est.SURE.M.Double",0.473772239202452,0.450978736318696,0.448044796053652,0.447085538938365,0.450224627103472,0.448861301110613,0.443306658311409,0.447133685463202,0.447687651901475,0.447309124213403,0.445252799922414,0.448575912652336,0.446961185142504
"19","avg.loss.mu.est.SURE.G.Double",0.471831184962534,0.450740515648718,0.447994664732067,0.44704013853484,0.450193096968881,0.448847853522494,0.443299318198393,0.447122610968031,0.447684698813578,0.447303331981401,0.445245824729325,0.448572009916867,0.446959523817134
"20","avg.loss.mu.est.SURE.SG.Double",0.471830339323585,0.450740695610271,0.447994691952102,0.447040257248583,0.45019325982459,0.448847963591718,0.443299340504172,0.447122651035034,0.447684733087038,0.447303378344685,0.445245875699969,0.44857204582343,0.44695954320633
"21","avg.loss.mu.est.SURE.SM.Double",0.47377261514557,0.4509789734286,0.448044876857445,0.447085681990627,0.450224800936522,0.448861415228667,0.443306686698552,0.447133732307678,0.447687688285093,0.447309171827158,0.445252852433216,0.448575948256559,0.446961205405343
"22","avg.loss.mu.est.DPMM",0.457794675320993,0.398366592223287,0.341724466758533,0.317980155302108,0.308906154165008,0.30056904329253,0.289459329690958,0.289137770892054,0.285653047804882,0.282698765958794,0.277883193096908,0.279114090151671,0.276151567569938
"23","avg.loss.mu.est.DPMM_ng",0.458044300633973,0.399229709206587,0.34039799772277,0.317825287499107,0.308957256817544,0.30059728622872,0.28947704089852,0.289149033987881,0.285705502311112,0.28291803778488,0.277897880072173,0.278968563918795,0.276045011157661
"24","avg.loss.sigma2d.est.sample.var",4.08163714483398,3.93637403745422,3.92689206967057,3.89143394220566,3.99654488216724,3.98364251213597,3.92750543733498,3.94787987022665,3.97728149643198,3.90084007014438,3.93198331909134,3.96237150848521,3.91655788371304
"25","avg.loss.sigma2d.est.SURE.M.Double",1.16167453083018,0.973194187023479,0.926825661553116,0.905735139132107,0.89621114768989,0.890312696068691,0.882864164951759,0.877264544886867,0.874800091542279,0.868075208489688,0.869445191106231,0.867976578308253,0.865053158655486
"26","avg.loss.sigma2d.est.SURE.G.Double",1.16158973396,0.973171007908949,0.926817712052958,0.905732089932594,0.89621116043592,0.890312703234963,0.882864164935214,0.877264552464247,0.874800110645276,0.86807521202486,0.869445201741131,0.867976577491017,0.865053167660974
"27","avg.loss.sigma2d.est.SURE.SG.Double",1.16170823446216,0.973206582976484,0.926837289551718,0.905746489783029,0.896226605895967,0.89032751490956,0.882879437394365,0.87727949368084,0.874818132025048,0.868091291212795,0.869463217383315,0.867994513662651,0.865070731093293
"28","avg.loss.sigma2d.est.SURE.SM.Double",1.16170896463893,0.97320636235186,0.926837404915655,0.905746779931287,0.89622637400821,0.890327559599095,0.882879376404937,0.877279503831114,0.874818135935143,0.868091379667631,0.869463283859434,0.867994535162647,0.865070877965676
"29","avg.loss.sigma2d.est.DPMM",1.584836085622,1.2132456728577,1.17848101636618,1.11123213515675,1.08559669669229,1.04213027149387,1.01097742543505,0.995026072596144,0.981928313875585,0.956091362896295,0.956577416795179,0.94671786415187,0.934157076710608
"30","avg.loss.sigma2d.est.DPMM_ng",1.22584993854779,1.14604726555773,1.16821109452107,1.14729872547095,1.13009335749013,1.106515852401,1.09769889603279,1.08351325550253,1.07183532454035,1.05659476161933,1.05534795158121,1.04446905371232,1.03561195925365
